Número Documento;Fecha Recepción;cufe;Fecha Emisión;Fecha Vencimiento;Tipo Identificación Adquiriente;Identificación Adquiriente;Nombre Adquiriente; SubTotal;Total Base Imponible;SubTotal Mas Tributos;Total Descuentos; Total Cargos;Total Anticipos;Total;estado;Usuario Creación;Fecha Creación;Descripción Error
CB8210369;2020-09-03 09:57:41.249;2db38fece7d2ad8e9556f93883f35dc8f9d9daaf889541141fda3bc9472df895c141c7a50ac8b74b373d8282f5e7f32d;2020-04-22 00:00:00.0;2020-04-22 00:00:00.0;31;830003564;ENTIDAD PROMOTORA DE SALUD FAMISANAR SAS;2128127.00;0.00;2128127.00;0.00;0.00;0.00;2128127.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 09:57:41.249;
CB8210366;2020-09-03 09:57:13.234;192882603b4664c25512b8c3ebc03a103d26aad5299794a2775db609dc9f64893d7facfa7118d1374d6cf7081ebe5b5f;2020-04-22 00:00:00.0;2020-04-22 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;224010.00;0.00;224010.00;0.00;0.00;0.00;224010.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 09:57:13.235;
CB8210262;2020-09-03 09:56:40.273;765e532f624dd6a6d2cee8cc9bdc7f18297c6423f0a260f591be30d803a32ee95baf2cd77bc0d959fa207f0148e87bbd;2020-04-19 00:00:00.0;2020-04-19 00:00:00.0;31;901323312;UNION SALUD AMERICA;16150.00;0.00;16150.00;0.00;0.00;0.00;16150.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 09:56:40.273;
CB8210251;2020-09-03 09:56:30.38;fa295ade63f61515f38efe805f26844a2c97015976da4a390cddf558e4db581c5318b5945779fada4028a7925fd2ebca;2020-04-19 00:00:00.0;2020-04-19 00:00:00.0;31;830003564;ENTIDAD PROMOTORA DE SALUD FAMISANAR SAS;20676.00;0.00;20676.00;0.00;0.00;0.00;20676.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 09:56:30.38;
CB8210196;2020-09-03 09:59:09.504;c7c62ee0bea76fad530ee4ceff42990ea6ad88a7d4685370e29a3296f64b52974356f6fb756003168828fe8f795191f7;2020-04-17 00:00:00.0;2020-04-17 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;28457240.00;0.00;28457240.00;0.00;0.00;0.00;28457240.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 09:59:09.505;
CB8210194;2020-09-03 09:58:53.927;ba9d04a2cc89342a8a547d59539ce688f0aa9b219fcf4b74b0f2d6c10fb67766625d3c0c93687a0a74037f33d0c039c0;2020-04-17 00:00:00.0;2020-04-17 00:00:00.0;31;901323312;UNION SALUD AMERICA;18247.00;0.00;18247.00;0.00;0.00;0.00;18247.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 09:58:53.927;
CB8210080;2020-09-03 10:04:42.731;55e1c413c209a1a7f9ec7a979173ea9c39c83c10b8605216d99cede7f1889dda3f3f1c2d060df287602c62fb2e964efd;2020-04-14 00:00:00.0;2020-04-14 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;215000.00;0.00;215000.00;0.00;0.00;0.00;215000.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:04:42.731;
CB8210071;2020-09-03 10:04:39.656;1659218d8482d831f027aca0909a7c2e2b15dd8dabbecc273dd4fde82ead6ef6537364f82736b0128ff837e4988dacc6;2020-04-13 00:00:00.0;2020-04-13 00:00:00.0;31;901323312;UNION SALUD AMERICA;1341048.00;0.00;1341048.00;0.00;0.00;0.00;1341048.00;Documento Validado con Error;F0001CNUESTRA                                     ;2020-09-03 10:04:39.656;
CC4210442;2020-09-04 08:12:07.625;8ab8e8b21d769895366ac09a9980225004be7c7c509cdf0d4a7e31a731678d997b1b9555f0ee3fed0c8d2d67e0fd0dfb;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;12;1107839025;MARIA MERCEDES PEREZ;28770.00;0.00;28770.00;0.00;0.00;0.00;28770.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 08:12:07.625;
CC4210441;2020-09-04 08:12:06.685;4d6a6c38be05bb656c23f01f13d14dcda7b49307190be97eef49569dce5a44967ae6a7d75c4a5076523d39ef231efec8;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;13;1151963363;ALIX PILAR MONDRAGON MONTAÑO;518000.00;0.00;518000.00;0.00;0.00;0.00;518000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 08:12:06.685;
